"","GeoName","avg_education"
"1","California",2396840.6
"2","Texas",1592020.51111111
"3","New.York",1386019.08888889
"4","Florida",1333592.11111111
"5","Illinois",820999.488888889
"6","Pennsylvania",806427.911111111
"7","New.Jersey",716966.209302326
"8","Ohio",646767.755555556
"9","North.Carolina",636972.311111111
"10","Massachusetts",628829.857142857
"11","Virginia",616458.822222222
"12","Georgia",604399.666666667
"13","Michigan",588457.325581395
"14","Washington",527125.955555556
"15","Maryland",474400.261904762
"16","Colorado",469580.555555556
"17","Arizona",413194.2
"18","Minnesota",409605.511627907
"19","Tennessee",381858.340909091
"20","Wisconsin",363397.441860465
"21","Indiana",363233.547619048
"22","Missouri",345485.977777778
"23","South.Carolina",309769.523809524
"24","Connecticut",290141.023809524
"25","Oregon",280680.755555556
"26","Alabama",256988.952380952
"27","Kentucky",231002.476190476
"28","Louisiana",221026
"29","Puerto.Rico",200099.292682927
"30","Utah",191794.511111111
"31","Kansas",190655.571428571
"32","Oklahoma",186642.666666667
"33","Iowa",178230.840909091
"34","Nevada",146924.933333333
"35","Arkansas",130324.911111111
"36","Mississippi",126439.476190476
"37","Nebraska",124730.095238095
"38","New.Hampshire",121562.333333333
"39","New.Mexico",118820.333333333
"40","Idaho",107183.428571429
"41","Maine",100957.523809524
"42","District.of.Columbia",87897.4102564103
"43","Rhode.Island",86173.2051282051
"44","West.Virginia",84285.3809523809
"45","Hawaii",80360.9555555556
"46","Montana",74459.6190476191
"47","Delaware",68615.0487804878
"48","Vermont",59749.7179487179
"49","South.Dakota",52274.5714285714
"50","North.Dakota",45346.880952381
"51","Alaska",39732
"52","Wyoming",34459.675
