"","GeoName","avg_income"
"1","United States",20610265
"2","California",2851043.36666667
"3","Texas",1736205.8
"4","New York",1459271.13333333
"5","Florida",1313610.76666667
"6","Illinois",816882.266666667
"7","Pennsylvania",802609
"8","New Jersey",683360.066666667
"9","Ohio",647859.7
"10","Georgia",582311.666666667
"11","North Carolina",578195.666666667
"12","Massachusetts",565252.233333333
"13","Virginia",562220.466666667
"14","Washington",547926.4
"15","Michigan",547641.533333333
"16","Maryland",415588.933333333
"17","Colorado",405352.5
"18","Arizona",395317.166666667
"19","Tennessee",384479.533333333
"20","Indiana",373182.633333333
"21","Minnesota",371490.4
"22","Wisconsin",342882.833333333
"23","Missouri",337158.166666667
"24","Connecticut",289637.966666667
"25","South Carolina",266094.433333333
"26","Oregon",252393.833333333
"27","Alabama",244115.933333333
"28","Louisiana",243096.3
"29","Kentucky",222218.3
"30","Oklahoma",213610.633333333
"31","Utah",185182.166666667
"32","Nevada",183069.266666667
"33","Iowa",180439.8
"34","Kansas",169815.033333333
"35","Arkansas",153322.1
"36","Mississippi",130993.366666667
"37","Nebraska",120461.9
"38","New Mexico",103566.8
"39","Idaho",99768.8666666667
"40","New Hampshire",98213.7333333333
"41","Hawaii",85661.0666666667
"42","West Virginia",84262.7333333333
"43","Maine",78383.3
"44","Rhode Island",66600.6
"45","District of Columbia",63572.0666666667
"46","Montana",62596.3666666667
"47","Delaware",59301.1
"48","South Dakota",57177.2333333333
"49","North Dakota",50270.6
"50","Alaska",47750.0666666667
"51","Wyoming",40392.5333333333
"52","Vermont",38454.7333333333
"53","2025.",NA
"54",NA,NA
